,mean,sd,eti94_lb,eti94_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"trans_mat[1, 1]",0.8798734454425162,0.06679654010774551,0.8012265653211241,0.9527551261406503,2.6082123992486212,5.2319363702942425,2.1755700588452194,0.04679607871233711,0.003898036866529491
"trans_mat[1, 2]",1.4608079790781611e-06,8.241548492608975e-07,5.842406809321456e-07,2.314409140981893e-06,2.9193445320348985,8.367987469457878,1.8508216136623727,5.781413476794776e-07,1.9042561891061418e-08
"trans_mat[1, 3]",0.10409573747689432,0.06337120658951566,0.03656678539096535,0.1798162360424179,2.6086986276855355,5.231936370294244,2.17395621822215,0.04440482197454393,0.0036760102729914185
"trans_mat[1, 4]",0.006316986746036476,0.0024542761285093976,0.0035795293036708425,0.010620950905216519,2.8268778009146107,5.243348442307898,1.926021123521455,0.0016468816903867731,0.0006058759294747107
"trans_mat[2, 0]",0.0546541058709415,0.026494253677319387,0.02844419094498742,0.09539760873573201,2.690674546404326,5.306591987860033,2.09259136006037,0.018401834779822764,0.004394922170486299
"trans_mat[2, 1]",7.190009254125491e-07,4.025359722266923e-08,6.435972258881376e-07,8.020171673457179e-07,3.198864435774527,5.697196691085869,1.7172405585573793,2.2120531468415737e-08,1.6481711509959798e-08
"trans_mat[2, 2]",0.9453353812627123,0.02650233336086702,0.9045769275621334,0.9715531527883933,2.69060969221158,5.306591987860032,2.092674552521737,0.01840746048898319,0.0043965913430723995
"trans_mat[2, 3]",2.6861760623727487e-06,1.0403250179067744e-06,1.6545745182361448e-06,4.273114327524373e-06,2.613885619771842,5.215070916818372,2.2002579488233187,7.24956725846076e-07,1.7274907674243512e-07
"trans_mat[2, 4]",7.107689358403468e-06,7.086319744607609e-06,3.165099719362225e-07,1.8908277121205543e-05,2.4888685154225714,5.144286833910055,2.413592950294677,4.921601810126795e-06,1.5570876389744235e-06
"trans_mat[3, 0]",0.018329292271118233,0.005400668800227441,0.012513970120470478,0.025147432302691886,2.5541074087001787,5.025197499046176,2.234124029376455,0.00378012702035221,0.00048402655810644146
"trans_mat[3, 1]",0.1642511005748422,0.12123453050373376,0.03753865466383937,0.3006884988430914,2.6006578409872545,5.222035364904028,2.167025213215595,0.08499404875266593,0.005295435820700891
"trans_mat[3, 2]",7.645284724010748e-07,4.1693239393789344e-07,1.9651242412451888e-07,1.1875166353263963e-06,2.522472314544461,5.383564976232369,2.346623749116698,2.8730498742571423e-07,6.187164925332373e-08
"trans_mat[3, 3]",0.6631542122042544,0.0335379350485784,0.6057693056951615,0.7139095395828572,2.786382532174906,5.965790577950117,1.945802713308692,0.022112040152156644,0.009056751055244942
"trans_mat[3, 4]",0.15426463042131264,0.09725716419596218,0.0292733799164967,0.27321525335331864,2.5993994493411816,5.720331457746518,2.159891079297169,0.06765128866125932,0.011711045390269712
"trans_mat[4, 0]",0.004477827027826797,0.003827493247916853,0.0005849247437691832,0.008721901418952951,2.722859502203073,6.384505766091905,2.028600456934368,0.0026846615300446866,0.00010565662956599167
"trans_mat[4, 1]",0.01948111661693572,0.004901618753884927,0.013663297261378896,0.025210636062420588,2.8964643205433536,12.857955475844111,1.8780749609385015,0.003417098524814232,0.00044610001629000255
"trans_mat[4, 2]",1.3739702225247472e-06,7.799960174445751e-07,5.345383488682363e-07,2.3863060644575086e-06,2.4684428765798714,5.225567282211688,2.4736132207656434,5.463087422651538e-07,6.37625249081608e-08
"trans_mat[4, 3]",0.03441078429449307,0.024680499721170226,0.00888481356921434,0.06179588374436564,2.6832768256604917,5.128530167774662,2.108657041711501,0.017312312480200136,0.0007575213532064564
"trans_mat[4, 4]",0.941628898090522,0.03338559545772106,0.9043536764452416,0.9767770470211249,2.756652699088755,6.055534040461954,2.0132024006763913,0.023409803398623037,0.0012311708237977778
"means[0, 0]",-0.2944497294239672,0.18744213992272327,-0.45852541057516866,0.08018740105436989,3.104635453406275,14.926460265712286,1.8565093948139666,0.11670413453253754,0.0627004302280807
"means[0, 1]",-0.23374897407316114,0.136431312260499,-0.3452460225254078,0.058221839026838036,3.3041299909647757,9.423757458598068,2.1219549005082974,0.0742879706160974,0.04626178972807124
"means[0, 2]",0.5334028795948613,0.20486382428674704,0.28147968545942376,0.7670807200476196,2.771350832445735,8.443928039936223,2.0303182209340576,0.1431295185186618,0.016508501831590975
"means[0, 3]",0.7102006181968334,0.5490384918427808,0.1340586835216047,1.2868520558575207,2.295516347009875,5.234723346662289,2.976879516820536,0.3852623738872133,0.013527222742826826
"means[0, 4]",-0.48434292403321705,0.23941480029166978,-0.7298786211839021,-0.24083159486292144,2.6304711382611883,5.1356136934328935,2.1904954156975465,0.16800706020306716,0.0022153591863141213
"means[0, 5]",-0.3399109093241374,0.13904248634839442,-0.4748773982612218,-0.027820850775895512,2.323038105841934,5.355883739241686,2.9105961342386752,0.09124138448368267,0.06145755772915082
"means[0, 6]",0.019968654533556573,0.10165497920864246,-0.10075414849729185,0.13706648762727522,2.58808565111489,6.010970832625148,2.3435119720256274,0.07109896816376222,0.008144450531649371
"means[0, 7]",-0.35321588416717387,0.21453311899906471,-0.6475033357141143,0.08724213908881316,3.628313038518775,10.237055677603731,2.079376668583754,0.11245436097406973,0.10067206091189677
"means[1, 0]",-0.8693784813719041,0.04657980224717552,-0.953704133806307,-0.8232215028719585,3.6440233969411406,9.361788928076923,1.9346047261555819,0.028942667825954876,0.01173800744085578
"means[1, 1]",-0.7778483295815977,0.061546486666774224,-0.892826531053171,-0.7046182904678008,2.9879925096334197,18.46666692834201,1.8819293823222678,0.03951960527931217,0.01740683430630258
"means[1, 2]",0.3135505588038004,0.040603581320374345,0.2402946121221081,0.39915534010189363,3.986052514451197,7.4402755537261305,1.4715134705298771,0.020712797749669623,0.01427628147557124
"means[1, 3]",0.10729172240695324,0.2245295878699264,-0.12153987603562343,0.38983407367070183,2.9874371330535037,13.293625168027187,1.8326394300304416,0.1564047228636248,0.019641788330028283
"means[1, 4]",-1.475925480066849,6.943351289380026e-07,-1.475926781089706,-1.475924140892166,61.71720512262515,124.98951737785566,1.0348415464759635,8.840754407783385e-08,6.434831921494183e-08
"means[1, 5]",-0.8903643727124809,0.3104763306419065,-1.2009074450511863,-0.5318108601753906,2.9110472620938714,6.134893349913552,1.8695306002251781,0.21744746263626566,0.015573883127349362
"means[1, 6]",0.24328164856332074,0.17949240177162665,0.01339548709445716,0.4297056582989476,2.4330773039545908,5.222826546699899,2.5593601836004445,0.1252863655894566,0.01908625819789204
"means[1, 7]",-0.5073914663346419,0.14284067556777427,-0.7391529409182157,-0.3412774121391976,2.7461807121837274,8.946093882888299,2.0142216115372213,0.09582002875726543,0.03325532008449116
"means[2, 0]",-2.766797759172452,0.2298083943361222,-3.0021128070460232,-2.523340474161094,2.728473055216708,6.691990704416016,2.078078917484014,0.16120244841221193,0.005408950288833788
"means[2, 1]",-3.80960516464362,0.21323279854550098,-4.069694491501558,-3.5772430813558667,2.643832567825091,6.086969740406959,2.114820615733985,0.14901414796219464,0.018543971895780182
"means[2, 2]",8.15084542370495,0.23721233462357047,7.892108839940634,8.39001920998234,2.4825774254884228,5.2349425744711935,2.4621383394608696,0.16641568394626724,0.006355098698825716
"means[2, 3]",6.703325381466209,0.6344156935451295,6.059894693736143,7.341244565898488,2.6523537754029616,7.562759097172197,2.102150834657929,0.4452120565116989,0.0030249065315085745
"means[2, 4]",-1.7352013133928612,0.25783393241965724,-2.050663140607716,-1.471098661452115,2.6434711467270118,6.2905829950992596,2.1250062246572106,0.18018622499905068,0.019554645096195155
"means[2, 5]",-1.0759371334314702,0.569409094268034,-1.6532086670839574,-0.47617832868500687,2.4476071237367574,5.211257034351476,2.5041615908712607,0.39953907475800293,0.009888601298319127
"means[2, 6]",-0.516793729471251,0.26680806391550843,-0.8115111052050937,-0.23066685280435978,2.9674910761554387,15.742126100330118,1.8287005020794376,0.18693051006657238,0.01190807090084436
"means[2, 7]",-1.672273405182862,0.5137837026540655,-2.2005600344149996,-1.1086429256343597,2.5922244159950956,5.185222822976911,2.1748662745172016,0.3603535846214054,0.01624164209637452
"means[3, 0]",-0.05129439655362455,0.11489030750627971,-0.1753803254117566,0.12710842295748517,2.7235390041965957,5.817110496199865,2.0357255791961997,0.0779755757219048,0.020902892483716667
"means[3, 1]",0.19331528631912215,0.4939166440274376,-0.30764189265539876,0.6992174770529608,2.6812396711665385,8.107138188701285,2.1019718921563175,0.3466007823632378,0.005034740006081926
"means[3, 2]",-0.011019526646472492,0.09779809692264467,-0.12288953733802652,0.17541748894390047,2.682121640015168,8.541152914531496,2.1228138926569593,0.0628281967851553,0.030744221762644273
"means[3, 3]",-0.271231813800769,0.26028080143299814,-0.5324094747505682,0.1239508522162286,2.3016891862380064,5.306292178466963,3.0002741216895212,0.179845216418818,0.05022353248831243
"means[3, 4]",-0.30052615342667316,0.39179985374709825,-0.6923276859722848,0.0912752413132497,2.9561205318944337,19.97259471627109,1.8292443669926906,0.2749565543887199,7.489524439244164e-07
"means[3, 5]",-0.3729300027625704,0.2060077828313533,-0.5895219502246748,-0.09126667863243587,2.671801658922003,10.262016343261811,2.078062410887092,0.14307703263834526,0.02391628606376949
"means[3, 6]",-0.46783896847804823,0.40628782517778755,-0.8802568505959957,0.08323671163044713,2.7738727673658192,7.305907806326567,1.9501881276891717,0.28180616666477815,0.04750320684350826
"means[3, 7]",-0.5116327511118212,0.4402427455684336,-0.951333349389702,0.047210913121806995,2.898194583641092,14.751185511156745,1.8908238148123613,0.3066595717762404,0.041036350485937546
"means[4, 0]",0.5883507733672645,0.01806936405480295,0.5495995961145577,0.6263793171625868,16.62052322098018,12.579467291132742,1.4748023323634931,0.004370741386578698,0.004620452136242055
